section,comparison_or_cohort,metric,real_or_numerator,synthetic_or_denominator,observed,threshold,status,evidence_path
seal,local_prereg,sha256,,,11e6c5cade83954246c0849cdf61d114e5e8907d878b779a0e450404bae7ef33,,SEALED,D:\runs\e2_program\cells\f02_real_axis\PREREG_local.json
seal,input_files,critical_file_hash_matches,8,8,8/8,,PASS,D:\runs\e2_program\cells\f02_real_axis\input_hash_verification.json
seal,input_trees,tree_hash_matches,3,3,3/3,,PASS,D:\runs\e2_program\cells\f02_real_axis\input_hash_verification.json
seal,synthetic_pairs,manifest_dxf_truth_pair_hash_matches,350,350,350/350,,PASS,D:\runs\e2_program\cells\f02_real_axis\manifest_hash_verification.csv
annotation,real,annotated_definitions,,,384,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\measurement_results.json
annotation,real,explicit_handle_keys,,,502,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\real_label_votes.csv
annotation,real,confirmed_positive_handle_keys,,,206,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\real_label_votes.csv
annotation,real,unknown_disputed_handle_keys,,,296,,UNKNOWN_RETAINED,D:\runs\e2_program\cells\f02_real_axis\real_label_votes.csv
annotation,real,unknown_unobserved_referenced_supported_keys,,,24964,,UNKNOWN_RETAINED,D:\runs\e2_program\cells\f02_real_axis\real_handle_status.csv
annotation,real,annotated_handle_keys_uninstantiated,,,7,,UNKNOWN_RETAINED,D:\runs\e2_program\cells\f02_real_axis\unknowns.csv
face_primary,real_confirmed_vs_synthetic_pooled,normalized_primitive_length_n,1280,16552,,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\primitive_observations.csv
face_primary,real_confirmed_vs_synthetic_pooled,normalized_primitive_length_KS,1280,16552,0.3649154935959401,<=0.30,FAIL,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_primary,real_confirmed_vs_synthetic_pooled,endpoint_gap_n,2560,33104,,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\endpoint_gap_observations.csv
face_primary,real_confirmed_vs_synthetic_pooled,endpoint_gap_KS,2560,33104,0.4427327513291446,<=0.30,FAIL,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_primary,real_confirmed_vs_synthetic_pooled,endpoint_graph_degree_nodes,2437,24250,,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\endpoint_degree_nodes.csv
face_primary,real_confirmed_vs_synthetic_pooled,endpoint_graph_degree_TV,2437,24250,0.3146415103917695,<=0.20,FAIL,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_primary,real_confirmed_vs_synthetic_pooled,KS_max,,,0.4427327513291446,<=0.30,FAIL,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_primary,real_confirmed_vs_synthetic_pooled,face_exploratory_gate,,,FAIL,KS_max<=0.30 AND TV<=0.20,FAIL,D:\runs\e2_program\cells\f02_real_axis\verification.json
face_sensitivity,real_confirmed_vs_fidelity_full,KS_max,,,0.49242788461538467,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_fidelity_full,degree_TV,,,0.36257158659078337,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_gen2_families,KS_max,,,0.41059801532033424,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_gen2_families,degree_TV,,,0.2853420618182859,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_S,KS_max,,,0.509166488451668,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_S,degree_TV,,,0.05047189167008616,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_F,KS_max,,,0.5407851651480639,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_F,degree_TV,,,0.4125566440516385,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_M,KS_max,,,0.5208862134909596,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_vs_tier_M,degree_TV,,,0.3915658139055256,,DESCRIPTIVE_ONLY,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_plus_disputed_vs_synthetic_pooled,KS_max,,,0.2861252500309134,,DESCRIPTIVE_ONLY_UNKNOWN_INCLUDED,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
face_sensitivity,real_confirmed_plus_disputed_vs_synthetic_pooled,degree_TV,,,0.3083559856932464,,DESCRIPTIVE_ONLY_UNKNOWN_INCLUDED,D:\runs\e2_program\cells\f02_real_axis\comparison_metrics.csv
coverage,real,HATCH_total_source_entities,0,1000,1000,,OBSERVED_TOP_LEVEL_PLUS_INSERT_INTERNAL,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,HATCH_emitted_entities,0,1000,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,top_level_INSERT_source_entities,0,50,50,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,top_level_INSERT_emitted_entities,0,50,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,recursive_INSERT_occurrences,,,3736,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,INSERT_internal_all_entity_occurrences,,,298657,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,INSERT_internal_supported_segment_entity_occurrences,0,288092,288092,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,INSERT_internal_supported_emitted_entity_occurrences,0,288092,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,real,INSERT_internal_supported_hypothetical_segments,,,3112317,,DESCRIPTIVE_COUNTERFACTUAL_ONLY,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_HATCH_source_entities,0,4050,4050,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_HATCH_emitted_entities,0,4050,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_INSERT_source_entities,0,17700,17700,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,top_level_INSERT_emitted_entities,0,17700,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,INSERT_internal_supported_segment_entity_occurrences,0,35400,35400,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,fidelity_full,INSERT_internal_supported_emitted_entity_occurrences,0,35400,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_HATCH_source_entities,0,5400,5400,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_HATCH_emitted_entities,0,5400,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_INSERT_source_entities,0,23641,23641,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,top_level_INSERT_emitted_entities,0,23641,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,INSERT_internal_supported_segment_entity_occurrences,0,47282,47282,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,gen2_families,INSERT_internal_supported_emitted_entity_occurrences,0,47282,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_HATCH_source_entities,0,9450,9450,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_HATCH_emitted_entities,0,9450,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_INSERT_source_entities,0,41341,41341,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,top_level_INSERT_emitted_entities,0,41341,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,INSERT_internal_supported_segment_entity_occurrences,0,82682,82682,,OBSERVED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
coverage,synthetic_pooled,INSERT_internal_supported_emitted_entity_occurrences,0,82682,0,source>0,NOT_COVERED,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,measurement,conversion_errors,0,0,0,,PASS,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,measurement,cyclic_or_missing_block_references,0,0,0,,PASS,D:\runs\e2_program\cells\f02_real_axis\coverage_aggregate.csv
quality,independent_verification,checks,51,51,51/51,,PASS,D:\runs\e2_program\cells\f02_real_axis\verification.json
