cell_id,family,transform,status,r_meta,invariance,artifact_precheck,admissibility,method_execution,transformed_variant_count,transform_certificate,lid_bijection_certificate,repeat_checksum,sentinel_certificate,validity_gate,reason
F01,deterministic_v0,translate,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,inverse transform restores endpoints and topology,exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F02,deterministic_v0,rotate,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,inverse rotation restores endpoints and topology,exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F03,deterministic_v0,uniform-scale,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,factor is positive and inverse scaling restores geometry,exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F04,deterministic_v0,unit-change,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,"coordinates, $INSUNITS, and scale_mm_per_unit encode the same physical quantities",exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F05,deterministic_v0,block-explode,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,no remaining INSERT; occurrence mapping bijective; world topology unchanged,exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F06,deterministic_v0,layer-rename,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,layer map bijective and geometry hash unchanged,exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F07,deterministic_v0,coord-jitter,UNKNOWN,,,BLOCKED_INPUT,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,"nonzero segments, unchanged incidence/topology, certified parallel-band margin, and input-only decision-margin certificate",exact frozen deterministic_v0 method manifest is absent in the sealed sources; v1 substitution forbidden (method_manifest_deterministic_v0.json reconstruction_status=BLOCKED_INPUT)
F08,classical_ml,translate,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,inverse transform restores endpoints and topology,"frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F09,classical_ml,rotate,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,inverse rotation restores endpoints and topology,"frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F10,classical_ml,uniform-scale,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,factor is positive and inverse scaling restores geometry,"frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F11,classical_ml,unit-change,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,"coordinates, $INSUNITS, and scale_mm_per_unit encode the same physical quantities","frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F12,classical_ml,block-explode,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,no remaining INSERT; occurrence mapping bijective; world topology unchanged,"frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F13,classical_ml,layer-rename,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,layer map bijective and geometry hash unchanged,"frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
F14,classical_ml,coord-jitter,UNKNOWN,,,ELIGIBLE,BLOCKED_INPUT,NOT_RUN,0,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,NOT_GENERATED_MEASUREMENT_PIPELINE_ABSENT,"nonzero segments, unchanged incidence/topology, certified parallel-band margin, and input-only decision-margin certificate","frozen six-feature model exists and passes the classical_ml artifact precheck (model_sha256=ccc52d2066cc44502b2a8ccb0412b6c77d8caca4c37cfbf919bb95e46f16c754), but the common admissibility gates (transform validity certificate, occurrence-level LID bijection, prediction schema on a nonempty LID population, repeat prediction checksum, sentinel + positive recall>=0.20) require a synthetic-scene detector pipeline that is not present in any sealed source; a synthetic-scene->6-feature extractor was never frozen (training features came from CubiCasa vector data via cubicasa_ml.py). Constructing one is prohibited invention, and the sealed f04_canonical_fill harness's zero_eligible_stop_rule mandates a fresh preregistration rather than an edit."
